Zeitstempel,Wie alt bist du?,Hast du bereits ein Haustier aus einem Tierheim adoptiert?,Welche Haustiere hast du in der Vergangenheit bereits aus einem Tierheim adoptiert?,"Kannst du dir vorstellen, künftig ein Haustier aus einem Tierheim zu adoptieren?",Hast du schon einmal ein Haustier bei einem Tierheim abgegeben?,"Könntest du dir vorstellen, ein Haustier an ein Tierheim abzugeben, wenn es die Umstände erfordern würden?",Warst du schon einmal ehrenamtlich engagiert?,Engagierst du dich ehrenamtlich?,Hast du Kinder?,Wie viele Kinder hast du?,Über welche Informationsquellen informierst du dich hauptsächlich?,Welche Informationsquelle nutzt du am häufigsten?,Welche Social-Media-Kanäle nutzt du?,Hattest du schon einmal ein Haustier?,Wie viel Erfahrung hast du im Umgang mit Haustieren?,"Was machst du, um Dein Haustier zu erziehen?",Unabhängig vom Thema Tier: Welche belastenden Lebenssituationen hast du bisher erlebt?,"Was waren die wichtigsten Gründe für deine Entscheidung, dein Tier abzugeben?",Wie hast du dich während des Abgabeprozesses gefühlt?,"Könntest du dir unter anderen Umständen vorstellen, erneut ein Tier zu adoptieren?",Wie wichtig ist dir eine flexible Zeiteinteilung bei ehrenamtlichen Tätigkeiten?,Zu welchen Zeiten könntest du dich ehrenamtlich engagieren?,"Was motiviert dich, ehrenamtlich aktiv zu sein?","Was hält dich aktuell davon ab, dich ehrenamtlich zu engagieren?",In welchem Bereich bist du/warst du ehrenamtlich tätig?
17.04.2026 15:42:40,45-59,1,Hund,Ja,Keine,Vielleicht,Nein,Nein,Nein,Keine,"Google-Suche, Print-Medien, KI-Chatbots",Google-Suche,"Instagram, Facebook, YouTube, WhatsApp",mehr als 3,5,Ich gehe in eine Hundeschule,Das möchte ich nicht beantworten,Das möchte ich nicht beantworten,Es wurde kein Tier abgegeben,"Ja, auf jeden Fall",5,Sonntags,"Tieren helfen und etwas Gutes tun, Neue Erfahrungen sammeln","Zeitmangel (Arbeit, Schule, Studium)",Ich war nicht ehrenamtlich tätig
17.04.2026 15:50:42,45-59,Keine,,Vielleicht,Keine,Vielleicht,Ja,Nein,Ja,1,"Google-Suche, Freundeskreis, KI-Chatbots",Google-Suche,"Instagram, YouTube, Telegram, WhatsApp, Signal ",mehr als 3,3,,"Trennung / Scheidung, Krankheit (eigene oder in der Familie), Allergie gegen Tiere, Tod eines Familienmitglieds, Überforderung im Alltag",,,Eher nicht,5,,,Fehlende Motivation,Kitaausschuss
17.04.2026 15:56:52,45-59,Keine,Niemand ,Vielleicht,Keine,Ja,Nein,Nein,Ja,2,Social Media,Social Media,"Instagram, Facebook, Telegram, WhatsApp",2,5,Ich mache nichts Besonderes,Umzug / Wohnungswechsel,Das möchte ich nicht beantworten,Es wurde kein Tier abgegeben,Vielleicht,5,Flexibel / je nach Bedarf,Tieren helfen und etwas Gutes tun,"Familiäre Verpflichtungen, Fehlende Motivation",Ich war nicht ehrenamtlich tätig
17.04.2026 16:08:45,45-59,Keine,,Vielleicht,Keine,Ja,Ja,Ja,Ja,3,"Google-Suche, Foren, Freundeskreis, KI-Chatbots, ",KI-Chatbots,"Instagram, Facebook, YouTube, Telegram, WhatsApp",3,2,"Ich lese Bücher oder informiere mich im Internet, Ich mache nichts Besonderes",,,,Eher nicht,4,"Wochentags abends, Samstags, Sonntags","Tieren helfen und etwas Gutes tun, Soziale Kontakte knüpfen, Sinnvolle Freizeitgestaltung, Eigene Fähigkeiten einbringen, Neue Erfahrungen sammeln","Zeitmangel (Arbeit, Schule, Studium), Familiäre Verpflichtungen, Fehlende Informationen über Möglichkeiten, Berufliche Belastung / Stress, Gesundheitliche Gründe, Entfernung / schlechte Erreichbarkeit, Finanzielle Gründe (z. B. Fahrtkosten)",Sportverein
17.04.2026 16:39:27,18-24,Keine,,Vielleicht,1,Vielleicht,Nein,Nein,Nein,Keine,Google-Suche,Google-Suche,WhatsApp,1,3,Ich hole mir Tipps von Freunden oder Familie,"Umzug / Wohnungswechsel, Krankheit (eigene oder in der Familie)",Umzug / neue Wohnsituation,Traurig,Vielleicht,,,,,
17.04.2026 16:54:23,25-34,Keine,,Ja,Keine,Nein,Ja,Ja,Nein,Keine,"Google-Suche, Social Media, Foren",Google-Suche,"Instagram, Facebook, YouTube, Telegram, WhatsApp",2,4,"Ich lese Bücher oder informiere mich im Internet, Ich trainiere selbst zu Hause, Ich nutze Belohnungen (Leckerlis, Lob)","Umzug / Wohnungswechsel, Zeitmangel (z. B. durch Arbeit), Finanzielle Probleme, Tod eines Familienmitglieds, Überforderung im Alltag",Es wurde kein Tier abgegeben,Es wurde kein Tier abgegeben,"Ja, auf jeden Fall",5,"Samstags, Sonntags",Tieren helfen und etwas Gutes tun,"Zeitmangel (Arbeit, Schule, Studium)",Tierschutz / Tierheim
17.04.2026 16:56:00,unter 18,Keine,,Vielleicht,Keine,Nein,Nein,Nein,Nein,Keine,Google-Suche,Google-Suche,WhatsApp,Keine,5,Ich lese Bücher oder informiere mich im Internet,"Umzug / Wohnungswechsel, Krankheit (eigene oder in der Familie)",Das möchte ich nicht beantworten,Es wurde kein Tier abgegeben,"Nein, auf keinen Fall",3,,,,Ich war nicht ehrenamtlich tätig
17.04.2026 17:09:18,45-59,Keine,"Keins,von privat bekommen ",Ja,Keine,Nein,Ja,Nein,Ja,1,"Google-Suche, Social Media, Freundeskreis, KI-Chatbots",Google-Suche,"Facebook, WhatsApp, Signal ",mehr als 3,4,"Ich lese Bücher oder informiere mich im Internet, Ich trainiere selbst zu Hause, Ich nutze Belohnungen (Leckerlis, Lob), Ich hole mir Tipps von Freunden oder Familie","Zeitmangel (z. B. durch Arbeit), Finanzielle Probleme, Krankheit (eigene oder in der Familie), Geburt eines Kindes, Überforderung im Alltag",Es wurde kein Tier abgegeben,Es wurde kein Tier abgegeben,"Ja, auf jeden Fall",4,"Samstags, Sonntags","Tieren helfen und etwas Gutes tun, Soziale Kontakte knüpfen, Sinnvolle Freizeitgestaltung, Eigene Fähigkeiten einbringen, Neue Erfahrungen sammeln, Gesellschaftliche Verantwortung übernehmen","Zeitmangel (Arbeit, Schule, Studium), Familiäre Verpflichtungen, Berufliche Belastung / Stress, Gesundheitliche Gründe",Tierschutz / Tierheim
17.04.2026 17:18:09,45-59,Keine,,Nein,Keine,Ja,Ja,Nein,Ja,1,Öff Recht Fehrnsehen,siehe vorher,"Instagram, YouTube, Telegram, WhatsApp",1,3,Ich trainiere selbst zu Hause,"Umzug / Wohnungswechsel, Trennung / Scheidung, Zeitmangel (z. B. durch Arbeit), Krankheit (eigene oder in der Familie), Geburt eines Kindes, Tod eines Familienmitglieds, Überforderung im Alltag, Das möchte ich nicht beantworten",Umzug / neue Wohnsituation,"Traurig, Erleichtert, Hoffnungsvoll (dass es dem Tier besser geht)",Vielleicht,5,"Wochentags abends, Samstags, Sonntags, Flexibel / je nach Bedarf","Soziale Kontakte knüpfen, Sinnvolle Freizeitgestaltung, Eigene Fähigkeiten einbringen, Neue Erfahrungen sammeln, Gesellschaftliche Verantwortung übernehmen","Zeitmangel (Arbeit, Schule, Studium), Berufliche Belastung / Stress, Gesundheitliche Gründe, Fehlende Motivation",Soziale Arbeit
17.04.2026 17:28:00,über 70,Keine,,Nein,Keine,Ja,Das weiß ich nicht,Nein,Ja,2,"Google-Suche, Freundeskreis, ",Google-Suche,"YouTube, WhatsApp, ",2,3,"Ich nutze Belohnungen (Leckerlis, Lob), Ich hole mir Tipps von Freunden oder Familie, Ich mache nichts Besonderes, ","Umzug / Wohnungswechsel, Trennung / Scheidung, ",Es wurde kein Tier abgegeben,Es wurde kein Tier abgegeben,Eher nicht,5,Flexibel / je nach Bedarf,Tieren helfen und etwas Gutes tun,"Zeitmangel (Arbeit, Schule, Studium)",Ich war nicht ehrenamtlich tätig
17.04.2026 18:02:08,60-70,Keine,,Nein,Keine,Vielleicht,Das weiß ich nicht,Nein,Ja,2,Radio,Radio,,mehr als 3,4,"Ich trainiere selbst zu Hause, Ich nutze Belohnungen (Leckerlis, Lob)","Umzug / Wohnungswechsel, Zeitmangel (z. B. durch Arbeit), Finanzielle Probleme, Krankheit (eigene oder in der Familie), Allergie gegen Tiere, Geburt eines Kindes, Probleme mit dem Verhalten des Tieres, Tod eines Familienmitglieds, Überforderung im Alltag",,,,,,,"Fehlende Motivation, Finanzielle Gründe (z. B. Fahrtkosten), Die Politiker setzt nur noch auf Ehrenamtliche Arbeiter",
17.04.2026 19:07:15,45-59,Keine,,Ja,Keine,Nein,Nein,Habe ich geplant,Nein,Keine,"Google-Suche, Social Media, Freundeskreis, KI-Chatbots",KI-Chatbots,"Instagram, Telegram, WhatsApp, Signal",3,3,Ich trainiere selbst zu Hause,"Umzug / Wohnungswechsel, Trennung / Scheidung, Zeitmangel (z. B. durch Arbeit), Krankheit (eigene oder in der Familie), Tod eines Familienmitglieds, Überforderung im Alltag",Es wurde kein Tier abgegeben,Es wurde kein Tier abgegeben,Vielleicht,5,Wochentags vormittags,,"Zeitmangel (Arbeit, Schule, Studium), Fehlende Informationen über Möglichkeiten, Berufliche Belastung / Stress",Ich war nicht ehrenamtlich tätig
17.04.2026 19:07:31,25-34,Keine,-,Ja,Keine,Vielleicht,Ja,Ja,Nein,Keine,"Google-Suche, Social Media, KI-Chatbots",Social Media,"Instagram, Facebook, TikTok, Twitter ",Keine,1,-,"Umzug / Wohnungswechsel, Zeitmangel (z. B. durch Arbeit), Überforderung im Alltag","Das möchte ich nicht beantworten, _",Es wurde kein Tier abgegeben,"Ja, auf jeden Fall",5,"Samstags, Sonntags","Tieren helfen und etwas Gutes tun, Sinnvolle Freizeitgestaltung, Gesellschaftliche Verantwortung übernehmen",-,"Tierschutz / Tierheim, Soziale Arbeit"
17.04.2026 20:06:39,18-24,Keine,,Ja,Keine,Ja,Ja,Ja,Nein,Keine,"Google-Suche, Social Media, Freundeskreis",Social Media,"Instagram, YouTube, WhatsApp",mehr als 3,3,,"Umzug / Wohnungswechsel, Überforderung im Alltag",Es wurde kein Tier abgegeben,Es wurde kein Tier abgegeben,"Ja, wahrscheinlich",4,"Samstags, Flexibel / je nach Bedarf","Tieren helfen und etwas Gutes tun, Sinnvolle Freizeitgestaltung, Gesellschaftliche Verantwortung übernehmen","Zeitmangel (Arbeit, Schule, Studium), Fehlende Informationen über Möglichkeiten, Berufliche Belastung / Stress, Fehlende Motivation",Kirche / Seelsorge
17.04.2026 22:37:15,45-59,Keine,Hund,Vielleicht,Keine,Vielleicht,Nein,Nein,Ja,2,Google-Suche,Google-Suche,"Telegram, WhatsApp",1,4,"Ich nutze Belohnungen (Leckerlis, Lob)","Umzug / Wohnungswechsel, Zeitmangel (z. B. durch Arbeit), Finanzielle Probleme, Überforderung im Alltag",Es wurde kein Tier abgegeben,Es wurde kein Tier abgegeben,Vielleicht,4,Flexibel / je nach Bedarf,"Tieren helfen und etwas Gutes tun, Soziale Kontakte knüpfen, Neue Erfahrungen sammeln","Zeitmangel (Arbeit, Schule, Studium), Familiäre Verpflichtungen, Finanzielle Gründe (z. B. Fahrtkosten)",Ich war nicht ehrenamtlich tätig
18.04.2026 06:55:53,35-44,1,Meerschweinchen,Vielleicht,Keine,Ja,Ja,Nein,Nein,Keine,"Google-Suche, Social Media, Freundeskreis",Google-Suche,"Instagram, Facebook, TikTok, Telegram, WhatsApp",mehr als 3,5,"Ich gehe in eine Hundeschule, Ich schaue YouTube-Videos, Ich lese Bücher oder informiere mich im Internet, Ich trainiere selbst zu Hause, Ich nutze Belohnungen (Leckerlis, Lob), Ich hole mir Tipps von Freunden oder Familie","Umzug / Wohnungswechsel, Trennung / Scheidung, Zeitmangel (z. B. durch Arbeit), Krankheit (eigene oder in der Familie), Tod eines Familienmitglieds",Allergie,Traurig,"Ja, auf jeden Fall",3,"Samstags, Sonntags","Tieren helfen und etwas Gutes tun, Soziale Kontakte knüpfen, Sinnvolle Freizeitgestaltung, Eigene Fähigkeiten einbringen, Neue Erfahrungen sammeln, Gesellschaftliche Verantwortung übernehmen","Zeitmangel (Arbeit, Schule, Studium), Gesundheitliche Gründe","Tierschutz / Tierheim, Sportverein"
18.04.2026 08:53:57,45-59,2,"Hund, Katze",Ja,Keine,Nein,Ja,Nein,Ja,2,Google-Suche,Google-Suche,"Facebook, WhatsApp",mehr als 3,5,"Ich gehe in eine Hundeschule, Ich lese Bücher oder informiere mich im Internet, Ich trainiere selbst zu Hause, Ich nutze Belohnungen (Leckerlis, Lob)",Das möchte ich nicht beantworten,,,"Ja, auf jeden Fall",4,"Wochentags nachmittags, Wochentags abends, Samstags, Sonntags","Tieren helfen und etwas Gutes tun, Sinnvolle Freizeitgestaltung, Eigene Fähigkeiten einbringen, Gesellschaftliche Verantwortung übernehmen",,Tierschutz / Tierheim
18.04.2026 09:49:52,45-59,Keine,,Vielleicht,Keine,Nein,Nein,Nein,Ja,2,"Google-Suche, Print-Medien",Print-Medien,"YouTube, WhatsApp",mehr als 3,5,"Ich lese Bücher oder informiere mich im Internet, Ich trainiere selbst zu Hause, Ich nutze Belohnungen (Leckerlis, Lob)",Tod eines Familienmitglieds,Es wurde kein Tier abgegeben,,,5,Flexibel / je nach Bedarf,Tieren helfen und etwas Gutes tun,"Zeitmangel (Arbeit, Schule, Studium), Berufliche Belastung / Stress",
18.04.2026 09:50:16,45-59,Keine,,Nein,Keine,Ja,Ja,Ja,Nein,Keine,"Google-Suche, Social Media, Foren, Freundeskreis, KI-Chatbots",Google-Suche,"Facebook, YouTube, WhatsApp",mehr als 3,3,Ich mache nichts Besonderes,Das möchte ich nicht beantworten,Es wurde kein Tier abgegeben,Es wurde kein Tier abgegeben,Eher nicht,5,"Wochentags abends, Samstags, Flexibel / je nach Bedarf","Soziale Kontakte knüpfen, Eigene Fähigkeiten einbringen, Neue Erfahrungen sammeln, Gesellschaftliche Verantwortung übernehmen",,"Soziale Arbeit, Kirche / Seelsorge"
18.04.2026 09:53:05,45-59,Keine,,Vielleicht,Keine,Vielleicht,Nein,Nein,Ja,3,"Google-Suche, Social Media",Google-Suche,"Facebook, YouTube, WhatsApp",mehr als 3,5,,"Umzug / Wohnungswechsel, Trennung / Scheidung, Finanzielle Probleme, Krankheit (eigene oder in der Familie), Geburt eines Kindes",Es wurde kein Tier abgegeben,Es wurde kein Tier abgegeben,Vielleicht,5,Flexibel / je nach Bedarf,,"Berufliche Belastung / Stress, Fehlende Motivation, Entfernung / schlechte Erreichbarkeit, Finanzielle Gründe (z. B. Fahrtkosten), ",Ich war nicht ehrenamtlich tätig
18.04.2026 10:47:32,45-59,mehr als 3,Katze,Ja,Keine,Ja,Ja,Nein,Ja,1,"Google-Suche, Foren",Foren,"Facebook, Telegram, WhatsApp",mehr als 3,5,"Ich gehe in eine Hundeschule, Ich schaue YouTube-Videos, Ich lese Bücher oder informiere mich im Internet, Ich trainiere selbst zu Hause, Ich nutze Belohnungen (Leckerlis, Lob)","Trennung / Scheidung, Zeitmangel (z. B. durch Arbeit), Finanzielle Probleme, Krankheit (eigene oder in der Familie), Tod eines Familienmitglieds",Es wurde kein Tier abgegeben,Es wurde kein Tier abgegeben,"Ja, auf jeden Fall",5,Flexibel / je nach Bedarf,"Tieren helfen und etwas Gutes tun, Soziale Kontakte knüpfen, Sinnvolle Freizeitgestaltung, Eigene Fähigkeiten einbringen, Neue Erfahrungen sammeln, Gesellschaftliche Verantwortung übernehmen","Fehlende Informationen über Möglichkeiten, Gesundheitliche Gründe","Soziale Arbeit, Flüchtlingshilfe / Integration"
18.04.2026 14:18:07,35-44,Keine,,Vielleicht,Keine,Vielleicht,Nein,Nein,Ja,1,"Google-Suche, Social Media, Freundeskreis",Social Media,"Instagram, Facebook, Telegram, WhatsApp",1,3,"Ich gehe in eine Hundeschule, Ich lese Bücher oder informiere mich im Internet, Ich trainiere selbst zu Hause, Ich nutze Belohnungen (Leckerlis, Lob), Ich hole mir Tipps von Freunden oder Familie","Umzug / Wohnungswechsel, Trennung / Scheidung, Zeitmangel (z. B. durch Arbeit), Finanzielle Probleme, Geburt eines Kindes, Probleme mit dem Verhalten des Tieres, Tod eines Familienmitglieds",Es wurde kein Tier abgegeben,Es wurde kein Tier abgegeben,Vielleicht,5,"Samstags, Sonntags","Tieren helfen und etwas Gutes tun, Neue Erfahrungen sammeln","Zeitmangel (Arbeit, Schule, Studium), Familiäre Verpflichtungen, Fehlende Informationen über Möglichkeiten, Finanzielle Gründe (z. B. Fahrtkosten)",Ich war nicht ehrenamtlich tätig
18.04.2026 14:28:34,25-34,Keine,,Ja,Keine,Nein,Ja,Ja,Nein,Keine,"Google-Suche, Social Media, Foren, Freundeskreis",Google-Suche,Instagram,3,4,Ich lese Bücher oder informiere mich im Internet,"Umzug / Wohnungswechsel, Trennung / Scheidung, Zeitmangel (z. B. durch Arbeit), Finanzielle Probleme, Tod eines Familienmitglieds, Überforderung im Alltag",Es wurde kein Tier abgegeben,Es wurde kein Tier abgegeben,,5,"Samstags, Sonntags, Flexibel / je nach Bedarf","Tieren helfen und etwas Gutes tun, Sinnvolle Freizeitgestaltung, Neue Erfahrungen sammeln","Zeitmangel (Arbeit, Schule, Studium)","Tierschutz / Tierheim, Kultur / Kunst / Musik"
18.04.2026 15:11:55,45-59,2,Katze,Ja,Keine,Vielleicht,Nein,Nein,Ja,2,Freundeskreis,Freundeskreis,WhatsApp,mehr als 3,5,Ich mache nichts Besonderes,Umzug / Wohnungswechsel,Es wurde kein Tier abgegeben,Es wurde kein Tier abgegeben,Vielleicht,5,Sonntags,Gesellschaftliche Verantwortung übernehmen,"Zeitmangel (Arbeit, Schule, Studium)",Ich war nicht ehrenamtlich tätig
18.04.2026 18:49:13,45-59,Keine,,Vielleicht,Keine,Vielleicht,Nein,Nein,Nein,Keine,"Google-Suche, Social Media, KI-Chatbots",KI-Chatbots,"Instagram, YouTube",1,2,,"Umzug / Wohnungswechsel, Zeitmangel (z. B. durch Arbeit), Finanzielle Probleme, Krankheit (eigene oder in der Familie), Allergie gegen Tiere, Tod eines Familienmitglieds, Überforderung im Alltag",Es wurde kein Tier abgegeben,Es wurde kein Tier abgegeben,Vielleicht,,"Wochentags abends, Samstags, Sonntags","Tieren helfen und etwas Gutes tun, Soziale Kontakte knüpfen, Gesellschaftliche Verantwortung übernehmen",Gesundheitliche Gründe,Ich war nicht ehrenamtlich tätig
18.04.2026 22:32:46,35-44,Keine,,Vielleicht,Keine,Vielleicht,Nein,Habe ich geplant,Ja,2,Google-Suche,Google-Suche,"YouTube, Telegram, WhatsApp",mehr als 3,3,Ich lese Bücher oder informiere mich im Internet,Umzug / Wohnungswechsel,Umzug / neue Wohnsituation,"Traurig, Schuldig",Vielleicht,4,Samstags,"Tieren helfen und etwas Gutes tun, Neue Erfahrungen sammeln","Zeitmangel (Arbeit, Schule, Studium), Familiäre Verpflichtungen, Berufliche Belastung / Stress",Ich war nicht ehrenamtlich tätig
